,Initial Savings,Steps Needed
0,1.0,133
1,1.0,995
2,1.0,692
3,1.0,29
4,1.0,1782
5,1.0,168
6,1.0,1627
7,1.0,241
8,1.0,797
9,1.0,211
10,1.0,10502
11,1.0,76
12,1.0,24
13,1.0,83
14,1.0,20
15,1.0,34
16,1.0,11608
17,1.0,106
18,1.0,952
19,1.0,90
20,556.4444444444445,2093
21,556.4444444444445,462
22,556.4444444444445,1371
23,556.4444444444445,257
24,556.4444444444445,993
25,556.4444444444445,7566
26,556.4444444444445,7438
27,556.4444444444445,186
28,556.4444444444445,8222
29,556.4444444444445,1555
30,556.4444444444445,137
31,556.4444444444445,3390
32,556.4444444444445,2376
33,556.4444444444445,2248
34,556.4444444444445,2712
35,556.4444444444445,365
37,556.4444444444445,1097
38,556.4444444444445,9184
39,556.4444444444445,797
40,1111.888888888889,414
41,1111.888888888889,2612
42,1111.888888888889,2150
43,1111.888888888889,1025
44,1111.888888888889,403
45,1111.888888888889,3709
46,1111.888888888889,383
47,1111.888888888889,3298
48,1111.888888888889,5188
49,1111.888888888889,2563
50,1111.888888888889,1472
51,1111.888888888889,2068
52,1111.888888888889,311
53,1111.888888888889,346
54,1111.888888888889,891
55,1111.888888888889,2849
56,1111.888888888889,1114
57,1111.888888888889,5521
58,1111.888888888889,466
59,1111.888888888889,153
60,1667.3333333333335,971
61,1667.3333333333335,1345
62,1667.3333333333335,532
63,1667.3333333333335,866
64,1667.3333333333335,2813
65,1667.3333333333335,8893
66,1667.3333333333335,259
67,1667.3333333333335,338
68,1667.3333333333335,3762
69,1667.3333333333335,1512
70,1667.3333333333335,821
71,1667.3333333333335,725
72,1667.3333333333335,1743
73,1667.3333333333335,1345
74,1667.3333333333335,272
75,1667.3333333333335,362
76,1667.3333333333335,4625
77,1667.3333333333335,486
78,1667.3333333333335,5810
79,1667.3333333333335,4900
80,2222.777777777778,1866
81,2222.777777777778,6452
82,2222.777777777778,361
83,2222.777777777778,2579
84,2222.777777777778,2116
85,2222.777777777778,710
86,2222.777777777778,234
87,2222.777777777778,325
88,2222.777777777778,615
89,2222.777777777778,827
90,2222.777777777778,3013
91,2222.777777777778,963
92,2222.777777777778,290
93,2222.777777777778,617
94,2222.777777777778,808
95,2222.777777777778,294
96,2222.777777777778,3718
97,2222.777777777778,1212
98,2222.777777777778,2987
99,2222.777777777778,286
100,2778.222222222222,1715
101,2778.222222222222,453
102,2778.222222222222,3988
103,2778.222222222222,7654
104,2778.222222222222,5042
105,2778.222222222222,3156
106,2778.222222222222,2089
107,2778.222222222222,1228
108,2778.222222222222,316
109,2778.222222222222,1733
110,2778.222222222222,390
111,2778.222222222222,4751
112,2778.222222222222,3757
113,2778.222222222222,8003
114,2778.222222222222,3260
115,2778.222222222222,6086
116,2778.222222222222,1939
117,2778.222222222222,5291
118,2778.222222222222,2311
119,2778.222222222222,2537
120,3333.666666666667,287
121,3333.666666666667,488
122,3333.666666666667,420
123,3333.666666666667,570
124,3333.666666666667,2935
125,3333.666666666667,1045
126,3333.666666666667,2827
127,3333.666666666667,291
128,3333.666666666667,1111
129,3333.666666666667,6158
130,3333.666666666667,261
131,3333.666666666667,1006
132,3333.666666666667,408
133,3333.666666666667,3960
134,3333.666666666667,678
135,3333.666666666667,687
136,3333.666666666667,601
137,3333.666666666667,4376
138,3333.666666666667,10082
139,3333.666666666667,771
140,3889.1111111111113,425
141,3889.1111111111113,651
142,3889.1111111111113,542
143,3889.1111111111113,402
144,3889.1111111111113,1117
145,3889.1111111111113,1014
146,3889.1111111111113,3176
147,3889.1111111111113,19868
148,3889.1111111111113,928
149,3889.1111111111113,604
150,3889.1111111111113,1182
151,3889.1111111111113,656
152,3889.1111111111113,606
153,3889.1111111111113,1964
154,3889.1111111111113,304
155,3889.1111111111113,12425
156,3889.1111111111113,918
157,3889.1111111111113,270
158,3889.1111111111113,1847
159,3889.1111111111113,217
160,4444.555555555556,4395
161,4444.555555555556,433
162,4444.555555555556,5300
163,4444.555555555556,10133
164,4444.555555555556,628
165,4444.555555555556,4575
166,4444.555555555556,745
167,4444.555555555556,4832
168,4444.555555555556,4469
169,4444.555555555556,2978
170,4444.555555555556,352
171,4444.555555555556,196
172,4444.555555555556,704
173,4444.555555555556,14366
174,4444.555555555556,1759
175,4444.555555555556,1295
176,4444.555555555556,2866
177,4444.555555555556,387
178,4444.555555555556,1091
179,4444.555555555556,805
180,5000.0,4152
181,5000.0,514
182,5000.0,830
183,5000.0,1788
184,5000.0,525
185,5000.0,2291
186,5000.0,863
187,5000.0,530
188,5000.0,1956
189,5000.0,3956
190,5000.0,850
191,5000.0,941
192,5000.0,4487
193,5000.0,2123
194,5000.0,5738
195,5000.0,561
196,5000.0,688
197,5000.0,5366
198,5000.0,32820
199,5000.0,2929
